Organism_Code	Organism_Name
iel	Ischnura elegans (blue-tailed damselfly)
hamr	Hetaerina americana (American ruby spot damselfly)
fcd	Folsomia candida
dpx	Daphnia pulex (common water flea)
dmk	Daphnia magna (water flea)
dpz	Daphnia pulicaria
afra	Artemia franciscana
pvm	Penaeus vannamei (Pacific white shrimp)
pja	Penaeus japonicus (kuruma prawn)
pchn	Penaeus chinensis (fleshy prawn)
pmoo	Penaeus monodon (black tiger shrimp)
hame	Homarus americanus (American lobster)
pcla	Procambarus clarkii (red swamp crayfish)
cqd	Cherax quadricarinatus (Australian red claw crayfish)
ptru	Portunus trituberculatus (swimming crab)
esn	Eriocheir sinensis (Chinese mitten crab)
mnz	Macrobrachium nipponense (oriental river prawn)
mrj	Macrobrachium rosenbergii (giant freshwater prawn)
porn	Panulirus ornatus (ornate spiny lobster)
hazt	Hyalella azteca
eaf	Eurytemora affinis
lsm	Lepeophtheirus salmonis (salmon louse)
tcf	Tigriopus californicus (tidepool copepod)
ppoi	Pollicipes pollicipes (gooseneck barnacle)
isc	Ixodes scapularis (black-legged tick)
dsv	Dermacentor silvarum
rsan	Rhipicephalus sanguineus (brown dog tick)
rmp	Rhipicephalus microplus (southern cattle tick)
vde	Varroa destructor (honeybee mite)
vja	Varroa jacobsoni
tut	Tetranychus urticae (two-spotted spider mite)
dpte	Dermatophagoides pteronyssinus (European house dust mite)
dfr	Dermatophagoides farinae (American house dust mite)
cscu	Centruroides sculpturatus (bark scorpion)
cvs	Centruroides vittatus (striped bark scorpion)
ptep	Parasteatoda tepidariorum (common house spider)
abru	Argiope bruennichi (wasp spider)
udv	Uloborus diversus
sdm	Stegodyphus dumicola
lpol	Limulus polyphemus (Atlantic horseshoe crab)
pmeo	Paramacrobiotus metropolitanus
cel	Caenorhabditis elegans (nematode)
cbr	Caenorhabditis briggsae (nematode)
crq	Caenorhabditis remanei (nematode)
nai	Necator americanus (New World hookworm)
bmy	Brugia malayi (filaria)
loa	Loa loa (eye worm)
tsp	Trichinella spiralis
hro	Helobdella robusta
lgi	Lottia gigantea (owl limpet)
pvul	Patella vulgata (common limpet)
pcan	Pomacea canaliculata (golden apple snail)
lsax	Littorina saxatilis
bgt	Biomphalaria glabrata (bloodfluke planorb)
gae	Gigantopelta aegis (peltospirid snail)
hrf	Haliotis rufescens (red abalone)
hrj	Haliotis rubra (blacklip abalone)
hasi	Haliotis asinina (tropical abalone)
hcra	Haliotis cracherodii (black abalone)
crg	Magallana gigas (Pacific oyster)
canu	Magallana angulata (Portugese oyster)
cvn	Crassostrea virginica (eastern oyster)
oed	Ostrea edulis (European flat oyster)
myi	Mizuhopecten yessoensis (Yesso scallop)
pmax	Pecten maximus (king scallop)
airr	Argopecten irradians (bay scallop)
mcaf	Mytilus californianus (California mussel)
mmer	Mercenaria mercenaria (northern quahog)
rphi	Ruditapes philippinarum (Manila clam)
dpol	Dreissena polymorpha (zebra mussel)
maea	Mya arenaria (softshell)
obi	Octopus bimaculoides (California two-spot octopus)
osn	Octopus sinensis (East Asian common octopus)
ljp	Liolophura japonica (common chiton)
lak	Lingula anatina
smm	Schistosoma mansoni
shx	Schistosoma haematobium (urinary blood fluke)
ovi	Opisthorchis viverrini (Southeast Asian liver fluke)
egl	Echinococcus granulosus (hydatid tapeworm)
llon	Lineus longissimus (bootlace worm)
nve	Nematostella vectensis (starlet sea anemone)
epa	Exaiptasia diaphana (Aiptasia)
aten	Actinia tenebrosa (Australian red waratah sea anemone)
adf	Acropora digitifera (stony coral)
amil	Acropora millepora
mcaz	Montipora capricornis (leaf plate montipora)
mfoo	Montipora foliosa
pdam	Pocillopora damicornis (lace coral)
spis	Stylophora pistillata (Smooth Cauliflower Coral)
dgt	Dendronephthya gigantea (soft corals)
xen	Xenia sp. Carnegie-2017 (soft corals)
hmg	Hydra vulgaris (swiftwater hydra)
hsy	Hydractinia symbiolongicarpus
res	Rhopilema esculentum
tad	Trichoplax adhaerens (placozoan)
aqu	Amphimedon queenslandica (sponge)
ath	Arabidopsis thaliana (thale cress)
aly	Arabidopsis lyrata (lyrate rockcress)
crb	Capsella rubella (pink shepherd's-purse)
csat	Camelina sativa (false flax)
eus	Eutrema salsugineum (saltwater cress)
brp	Brassica rapa (field mustard)
bna	Brassica napus (rape)
boe	Brassica oleracea (wild cabbage)
rsz	Raphanus sativus (radish)
thj	Tarenaya hassleriana (spider flower)
cpap	Carica papaya (papaya)
cit	Citrus sinensis (Valencia orange)
cic	Citrus x clementina (clementine)
pvy	Pistacia vera (pistachio)
minc	Mangifera indica (mango)
tcc	Theobroma cacao (cacao)
gra	Gossypium raimondii
ghi	Gossypium hirsutum (upland cotton)
gab	Gossypium arboreum (tree cotton)
hsyr	Hibiscus syriacus (Rose-of-Sharon)
dzi	Durio zibethinus (durian)
egr	Eucalyptus grandis (rose gum)
rarg	Rhodamnia argentea (silver malletwood)
gmx	Glycine max (soybean)
gsj	Glycine soja (wild soybean)
pvu	Phaseolus vulgaris (common bean)
vra	Vigna radiata (mung bean)
var	Vigna angularis (adzuki bean)
vun	Vigna unguiculata (cowpea)
vum	Vigna umbellata (ricebean)
ccaj	Cajanus cajan (pigeon pea)
aprc	Abrus precatorius (Indian licorice)
mtr	Medicago truncatula (barrel medic)
tpra	Trifolium pratense (red clover)
cam	Cicer arietinum (chickpea)
psat	Pisum sativum (pea)
vvo	Vicia villosa (hairy vetch)
lja	Lotus japonicus
adu	Arachis duranensis
aip	Arachis ipaensis
ahf	Arachis hypogaea (peanut)
lang	Lupinus angustifolius (narrow-leaved blue lupine)
pcin	Prosopis cineraria
qsa	Quillaja saponaria (soapbark tree)
fve	Fragaria vesca (woodland strawberry)
aans	Argentina anserina (silverweed cinquefoil)
rcn	Rosa chinensis (China rose)
pper	Prunus persica (peach)
pmum	Prunus mume (Japanese apricot)
pavi	Prunus avium (sweet cherry)
pdul	Prunus dulcis (almond)
mdm	Malus domestica (apple)
msyl	Malus sylvestris (European crab apple)
pxb	Pyrus x bretschneideri (Chinese white pear)
pcox	Pyrus communis (pear)
zju	Ziziphus jujuba (Chinese jujube)
mnt	Morus notabilis
csav	Cannabis sativa (hemp)
csv	Cucumis sativus (cucumber)
cmo	Cucumis melo (muskmelon)
bhj	Benincasa hispida (wax gourd)
mcha	Momordica charantia (bitter melon)
cmax	Cucurbita maxima (winter squash)
cmos	Cucurbita moschata (crookneck pumpkin)
cpep	Cucurbita pepo subsp. pepo (vegetable marrow)
rcu	Ricinus communis (castor bean)
mean	Mercurialis annua (annual mercury)
jcu	Jatropha curcas (Barbados nut)
hbr	Hevea brasiliensis (rubber tree)
mesc	Manihot esculenta (cassava)
pop	Populus trichocarpa (black cottonwood)
peu	Populus euphratica (Euphrates poplar)
palz	Populus alba (white poplar)
pnz	Populus nigra (Lombardy poplar)
jre	Juglans regia (English walnut)
cill	Carya illinoinensis (pecan)
cave	Corylus avellana (European hazelnut)
aglu	Alnus glutinosa (common alder)
qsu	Quercus suber (cork oak)
qlo	Quercus lobata (valley oak)
twl	Tripterygium wilfordii (thunder duke vine)
vvi	Vitis vinifera (wine grape)
vri	Vitis riparia (riverbank grape)
sly	Solanum lycopersicum (tomato)
spen	Solanum pennellii
sot	Solanum tuberosum (potato)
sstn	Solanum stenotomum
sdul	Solanum dulcamara (climbing nightshade)
cann	Capsicum annuum (peppers)
lbb	Lycium barbarum (goji berry)
nta	Nicotiana tabacum (common tobacco)
nsy	Nicotiana sylvestris (wood tobacco)
nto	Nicotiana tomentosiformis
nau	Nicotiana attenuata (coyote tobacco)
ini	Ipomoea nil (Japanese morning glory)
itr	Ipomoea triloba (trilobed morning glory)
sind	Sesamum indicum (sesame)
oeu	Olea europaea var. sylvestris (wild olive)
egt	Erythranthe guttata (spotted monkey flower)
sspl	Salvia splendens (scarlet sage)
smil	Salvia miltiorrhiza (redroot sage)
shis	Salvia hispanica (chia)
apan	Andrographis paniculata
han	Helianthus annuus (common sunflower)
ecad	Erigeron canadensis (horseweed)
lsv	Lactuca sativa (garden lettuce)
ccav	Cynara cardunculus var. scolymus (artichoke)
dcr	Daucus carota (carrot)
csin	Camellia sinensis (tea plant)
rvl	Rhododendron vialii
aew	Actinidia eriantha (wild kiwifruit)
dlt	Diospyros lotus (date-plum)
bvg	Beta vulgaris (sugar beet)
soe	Spinacia oleracea (spinach)
cqi	Chenopodium quinoa (quinoa)
atri	Amaranthus tricolor (tampala)
mof	Malania oleifera
nnu	Nelumbo nucifera (sacred lotus)
ming	Macadamia integrifolia (macadamia nut)
tss	Telopea speciosissima (New South Wales waratah)
psom	Papaver somniferum (opium poppy)
osa	Oryza sativa japonica (Japanese rice)
dosa	Oryza sativa japonica (Japanese rice) (RAPDB)
obr	Oryza brachyantha (malo sina)
ogl	Oryza glaberrima (African rice)
bdi	Brachypodium distachyon (stiff brome)
ats	Aegilops tauschii (wheat D)
tdc	Triticum dicoccoides (wild emmer wheat)
taes	Triticum aestivum (bread wheat)
tua	Triticum urartu (red wild einkorn wheat)
lper	Lolium perenne (perennial ryegrass)
lrd	Lolium rigidum (rigid ryegrass)
sbi	Sorghum bicolor (sorghum)
zma	Zea mays (maize)
mflo	Miscanthus floridulus
sita	Setaria italica (foxtail millet)
svs	Setaria viridis (green foxtail)
pvir	Panicum virgatum (switchgrass)
phai	Panicum hallii (Hall's panicgrass)
paua	Phragmites australis (common reed)
pda	Phoenix dactylifera (date palm)
egu	Elaeis guineensis (African oil palm)
mus	Musa acuminata (dessert banana)
zof	Zingiber officinale (ginger)
dct	Dendrobium catenatum
peq	Phalaenopsis equestris
aof	Asparagus officinalis (garden asparagus)
msin	Magnolia sinica
acak	Aristolochia californica
ncol	Nymphaea colorata (blue-petal water lily)
atr	Amborella trichopoda
cjf	Cryptomeria japonica (Japanese cedar)
smo	Selaginella moellendorffii
ppp	Physcomitrium patens (spreading earthmoss)
cre	Chlamydomonas reinhardtii
vcn	Volvox carteri f. nagariensis
mng	Monoraphidium neglectum
csl	Coccomyxa subellipsoidea
cvr	Chlorella variabilis
apro	Auxenochlorella protothecoides
olu	Ostreococcus lucimarinus
ota	Ostreococcus tauri
bpg	Bathycoccus prasinos
mis	Micromonas commoda
mpp	Micromonas pusilla
cme	Cyanidioschyzon merolae
gsl	Galdieria sulphuraria
ccp	Chondrus crispus (carragheen)
sce	Saccharomyces cerevisiae (budding yeast)
seub	Saccharomyces eubayanus
spao	Saccharomyces paradoxus
ago	Eremothecium gossypii
erc	Eremothecium cymbalariae
kla	Kluyveromyces lactis
kmx	Kluyveromyces marxianus
lth	Lachancea thermotolerans
vpo	Vanderwaltozyma polyspora
zro	Zygosaccharomyces rouxii
cgr	Nakaseomyces glabratus
ncs	Naumovozyma castellii
ndi	Naumovozyma dairenensis
tpf	Tetrapisispora phaffii
tbl	Henningerozyma blattae
tgb	Torulaspora globosa
tdl	Torulaspora delbrueckii
kaf	Kazachstania africana
kng	Huiozyma naganishii
zmk	Zygotorulaspora mrakii
slud	Saccharomycodes ludwigii
dha	Debaryomyces hansenii
pic	Scheffersomyces stipitis
pgu	Meyerozyma guilliermondii
spaa	Spathaspora passalidarum
lel	Lodderomyces elongisporus
lbg	Lodderomyces beijingensis
cal	Candida albicans
ctp	Candida tropicalis
cot	Candida orthopsilosis
cdu	Candida dubliniensis
cten	Yamadazyma tenuis
clu	Clavispora lusitaniae ATCC 42720
clus	Clavispora lusitaniae CBS 6936
caur	Candidozyma auris
asau	Australozyma saopauloensis
ppa	Komagataella phaffii
pkz	Pichia kudriavzevii
bnn	Brettanomyces nanus
bbrx	Brettanomyces bruxellensis
opa	Ogataea parapolymorpha
yli	Yarrowia lipolytica
slb	Sugiyamaella lignohabitans
ncr	Neurospora crassa
nte	Neurospora tetrasperma
smp	Sordaria macrospora
pan	Podospora anserina
pbel	Podospora bellae-mahoneyi
ppsd	Podospora pseudocomata
ppsp	Podospora pseudopauciseta
ppsa	Podospora pseudoanserina
ttt	Thermothielavioides terrestris
mtm	Thermothelomyces thermophilus
cthr	Thermochaetoides thermophila
rthe	Remersonia thermophila
mgr	Pyricularia oryzae
ppei	Pyricularia pennisetigena
pgri	Pyricularia grisea
tmn	Phaeoacremonium minimum
ssck	Sporothrix schenckii
fgr	Fusarium graminearum
fpu	Fusarium pseudograminearum
fpoa	Fusarium poae
fvn	Fusarium venenatum
fvr	Fusarium verticillioides
fox	Fusarium oxysporum
nhe	Fusarium vanettenii
ffc	Fusarium falciforme
fkr	Fusarium keratoplasticum
fmu	Fusarium musae
tre	Trichoderma reesei QM6a
trr	Trichoderma reesei RUT C-30
tatv	Trichoderma atroviride
tasp	Trichoderma asperellum
maw	Metarhizium acridum
maj	Metarhizium robertsii
mbrn	Metarhizium brunneum
pchm	Pochonia chlamydosporia
cmt	Cordyceps militaris
amus	Akanthomyces muscarius
plj	Purpureocillium lilacinum
ptkz	Purpureocillium takamizusanense
val	Verticillium alfalfae
vda	Verticillium dahliae
cfj	Colletotrichum fioriniae
clup	Colletotrichum lupini
chig	Colletotrichum higginsianum
cdet	Colletotrichum destructivum
sapo	Scedosporium apiospermum
ela	Eutypa lata
pfy	Pestalotiopsis fici
ssl	Sclerotinia sclerotiorum
bfu	Botrytis cinerea (gray mold)
mbe	Drepanopeziza brunnea
psco	Mollisia scopiformis
glz	Glarea lozoyensis
ani	Aspergillus nidulans
afm	Aspergillus fumigatus
act	Aspergillus clavatus
nfi	Aspergillus fischeri
aor	Aspergillus oryzae
ang	Aspergillus niger (black aspergilli)
afv	Aspergillus flavus
aluc	Aspergillus luchuensis
ache	Aspergillus chevalieri
apuu	Aspergillus puulaauensis
pcs	Penicillium rubens
pdp	Penicillium digitatum
pou	Penicillium oxalicum
tmf	Talaromyces marneffei
trg	Talaromyces rugulosus
cim	Coccidioides immitis
cpw	Coccidioides posadasii
ure	Uncinocarpus reesii
abe	Trichophyton benhamiae
tve	Trichophyton verrucosum
pbl	Paracoccidioides lutzii Pb01
pbn	Paracoccidioides brasiliensis
aje	Histoplasma mississippiense
bgh	Blastomyces gilchristii
pno	Parastagonospora nodorum
pte	Pyrenophora teres
ptrr	Pyrenophora tritici-repentis
bze	Bipolaris zeicola
bsc	Bipolaris sorokiniana
bor	Bipolaris oryzae
aalt	Alternaria alternata
adac	Alternaria dauci
arab	Ascochyta rabiei
ztr	Zymoseptoria tritici
pfj	Pseudocercospora fijiensis
ffu	Fulvia fulva
cbet	Cercospora beticola
bcom	Baudoinia panamericana
npa	Neofusicoccum parvum
tml	Tuber melanosporum
spo	Schizosaccharomyces pombe (fission yeast)
som	Schizosaccharomyces osmophilus (fission yeast)
cne	Cryptococcus neoformans var. neoformans JEC21
cnb	Cryptococcus neoformans var. neoformans B-3501A
cng	Cryptococcus neoformans var. grubii H99
cgi	Cryptococcus gattii
cdeu	Cryptococcus deuterogattii
cdep	Cryptococcus depauperatus
kmg	Kwoniella mangroviensis
kne	Kwoniella newhampshirensis
tms	Tremella mesenterica
tasa	Trichosporon asahii var. asahii
ccac	Cutaneotrichosporon cavernicola
ppl	Postia placenta
tvs	Trametes versicolor
dsq	Dichomitus squalens
pco	Phanerochaete carnosa
shs	Stereum hirsutum
hir	Heterobasidion irregulare
psq	Punctularia strigosozonata
adl	Auricularia subglabra
fme	Fomitiporia mediterranea
gtr	Gloeophyllum trabeum
rsx	Rhizoctonia solani
lbc	Laccaria bicolor
cci	Coprinopsis cinerea (gray shag)
abp	Agaricus bisporus var. burnettii JB137-S8
abv	Agaricus bisporus var. bisporus H97
pcub	Psilocybe cubensis (magic mushroom)
mpr	Moniliophthora perniciosa
mrr	Moniliophthora roreri
more	Marasmius oreades (fairy-ring mushroom)
scm	Schizophyllum commune
cput	Coniophora puteana
sla	Serpula lacrymans
wse	Wallemia mellicola
wic	Wallemia ichthyophaga
uma	Mycosarcoma maydis
pfp	Pseudozyma flocculosa
sgra	Sporisorium graminicola
mgl	Malassezia globosa
mrt	Malassezia restricta
msym	Malassezia sympodialis
pgr	Puccinia graminis
ptrc	Puccinia triticina (wheat leaf rust)
pstr	Puccinia striiformis f. sp. tritici (wheat yellow rust fungus)
mlr	Melampsora larici-populina
ecu	Encephalitozoon cuniculi
ein	Encephalitozoon intestinalis
ehe	Encephalitozoon hellem
ero	Encephalitozoon romaleae
nce	Vairimorpha ceranae
vnx	Vairimorpha necatrix
rie	Rhizophagus irregularis
mbr	Monosiga brevicollis
sre	Salpingoeca rosetta
ddi	Dictyostelium discoideum (cellular slime mold)
dpp	Dictyostelium purpureum (cellular slime mold)
dfa	Cavenderia fasciculata (cellular slime mold)
ehi	Entamoeba histolytica
edi	Entamoeba dispar
eiv	Entamoeba invadens
acan	Acanthamoeba castellanii
pfa	Plasmodium falciparum 3D7
pfd	Plasmodium falciparum Dd2
pfh	Plasmodium falciparum HB3
prei	Plasmodium reichenowi
pgab	Plasmodium gaboni
plag	Plasmodium sp. gorilla clade G2
pyo	Plasmodium yoelii
pcb	Plasmodium chabaudi
pbe	Plasmodium berghei
pvv	Plasmodium vinckei vinckei
pkn	Plasmodium knowlesi
pvx	Plasmodium vivax
pcy	Plasmodium cynomolgi
pmal	Plasmodium malariae
pbrs	Plasmodium brasilianum
prel	Plasmodium relictum
pcot	Plasmodium coatneyi
tan	Theileria annulata
tpv	Theileria parva
tot	Theileria orientalis
beq	Theileria equi
bbo	Babesia bovis
bmic	Babesia microti
bbig	Babesia bigemina
bdw	Babesia duncani
cpv	Cryptosporidium parvum
cho	Cryptosporidium hominis
tgo	Toxoplasma gondii
bbes	Besnoitia besnoiti
tet	Tetrahymena thermophila
ptm	Paramecium tetraurelia
pti	Phaeodactylum tricornutum
fcy	Fragilariopsis cylindrus
tps	Thalassiosira pseudonana
ngd	Nannochloropsis gaditana
aaf	Aureococcus anophagefferens
pif	Phytophthora infestans
psoj	Phytophthora sojae
blac	Bremia lactucae (lettuce downy mildew)
spar	Saprolegnia parasitica
tbr	Trypanosoma brucei brucei
tbg	Trypanosoma brucei gambiense
tcr	Trypanosoma cruzi
lma	Leishmania major
lif	Leishmania infantum
ldo	Leishmania donovani
lmi	Leishmania mexicana
lmat	Leishmania martiniquensis
lbz	Leishmania braziliensis
lpan	Leishmania panamensis
loi	Leishmania orientalis
leis	Leishmania sp. Ghana 2012 LV757
lenr	Leishmania enriettii
lein	Leishmania sp. Namibia
phet	Porcisia hertigi
ngr	Naegleria gruberi
tva	Trichomonas vaginalis
gla	Giardia lamblia
ssao	Spironucleus salmonicida
ehx	Emiliania huxleyi
gtt	Guillardia theta
eco	Escherichia coli K-12 MG1655
ecj	Escherichia coli K-12 W3110
ecd	Escherichia coli K-12 DH10B
ebw	Escherichia coli K-12 BW2952
ecok	Escherichia coli K-12 MDS42
ecoc	Escherichia coli K-12 C3026
ece	Escherichia coli O157:H7 EDL933 (EHEC)
ecs	Escherichia coli O157:H7 Sakai (EHEC)
ecf	Escherichia coli O157:H7 EC4115 (EHEC)
etw	Escherichia coli O157:H7 TW14359 (EHEC)
elx	Escherichia coli O157:H7 Xuzhou21 (EHEC)
eoi	Escherichia coli O111:H- 11128 (EHEC)
eoj	Escherichia coli O26:H11 11368 (EHEC)
eoh	Escherichia coli O103:H2 12009 (EHEC)
ecoo	Escherichia coli O145:H28 RM13514 (EHEC)
ecoh	Escherichia coli O145:H28 RM13516 (EHEC)
esl	Escherichia coli O104:H4 2011C-3493 (EAEC)
eso	Escherichia coli O104:H4 2009EL-2071 (EAEC)
esm	Escherichia coli O104:H4 2009EL-2050 (EAEC)
eck	Escherichia coli 55989 (EAEC)
ecg	Escherichia coli O127:H6 E2348/69 (EPEC)
eok	Escherichia coli O55:H7 CB9615 (EPEC)
elr	Escherichia coli O55:H7 RM12579 (EPEC)
elh	Escherichia coli O78:H11:K80 H10407 (ETEC)
ecw	Escherichia coli O139:H28 E24377A (ETEC)
eun	Escherichia coli UMNK88 (ETEC, porcine)
ecp	Escherichia coli O6:K15:H31 536 (UPEC)
ena	Escherichia coli NA114 (UPEC)
ecos	Escherichia coli O25b:K100:H4-ST131 EC958 (UPEC)
ecv	Escherichia coli APEC O1 (APEC)
ecoa	Escherichia coli APEC O78 (APEC)
ecx	Escherichia coli O9 HS (commensal)
ecm	Escherichia coli SMS-3-5 (environmental)
ecy	Escherichia coli O152:H28 SE11 (commensal)
ecr	Escherichia coli O8 IAI1 (commensal)
ecq	Escherichia coli O81 ED1a (commensal)
eum	Escherichia coli O17:K52:H18 UMN026 (ExPEC)
ect	Escherichia coli O7:K1 IAI39 (ExPEC)
eoc	Escherichia coli O7:K1 CE10
ebr	Escherichia coli B REL606
ecob	Escherichia coli B C3029
ebl	Escherichia coli BL21(DE3)
ebe	Escherichia coli BL21(DE3)
ebd	Escherichia coli BL21-Gold(DE3)pLysS AG
eci	Escherichia coli O18:K1:H7 UTI89 (UPEC)
eih	Escherichia coli O18:K1:H7 IHE3034 (ExPEC)
ecz	Escherichia coli O45:K1:H7 S88 (ExPEC)
ecc	Escherichia coli O6:K2:H1 CFT073 (UPEC)
elo	Escherichia coli O44:H18 042 (EAEC)
eln	Escherichia coli O83:H1 NRG 857C (AIEC)
ese	Escherichia coli O150:H5 SE15 (commensal)
ecl	Escherichia coli ATCC 8739
ekf	Escherichia coli KO11FL
eab	Escherichia coli ABU 83972
